gene,ACH-001619,ACH-001113,ACH-001339
ABCA1,2.7276547,4.582056,0.10812429
ABLIM1,4.4724097,3.5547361,3.0150175
ACKR3,0.950767,7.167418,0.29332456
ACTA2,3.532554,1.8098671,2.78504
ACTN1,6.6650233,6.3848147,6.657793
ADAM12,0.2040017,1.7761081,1.4743426
ADAM19,1.3269515,1.717513,3.0322473
ADAMTS6,0.60270107,0.3679011,0.4560628
ADORA2B,5.564805,6.02749,3.3514502
AGR2,2.8292184,0.03269755,0.1318173
AKT3,1.2842712,6.1096635,4.944048
ALDH1A3,5.0087914,0.96794474,9.259579
ALDH3A2,7.378789,9.693814,5.7671223
ALDH5A1,0.9037463,3.1983511,0.97580916
ALOX5AP,0.80183,0.09289614,0.9568432
AMD1,6.3714213,5.7641816,6.679607
AMIGO2,4.865577,6.405298,1.7546225
ANGPTL4,1.6501534,0.2779062,1.2470708
ANK3,3.1262064,4.318606,4.9299426
ANKLE2,4.1861677,4.6808195,4.692165
ANKRD1,5.3925714,0.4070612,0.38525212
ANLN,5.971355,6.071645,7.259235
ANXA8L1,1.001233,3.607508,0.07481641
AP1S2,4.957966,5.031188,8.148629
APBB2,3.67629,2.8048816,2.159936
AQP3,2.7281294,2.6838176,1.9386697
AREG,4.6678014,1.0961472,2.4386735
ARFGAP1,4.9365816,5.55992,5.5291524
ARHGAP29,6.279648,4.3690686,1.0178934
ARHGEF40,3.770491,2.817083,3.8827703
ATF3,4.453735,7.2672734,4.056332
ATP8B1,3.007436,3.4587626,0.41280103
BCL6,4.217409,4.623463,4.345659
BHLHE40,4.0341187,5.2347426,5.0818977
BIRC3,1.9499345,0.5575336,3.2323968
BMAL1,2.9223406,2.5569322,2.8037024
BMP1,3.7488692,3.04581,4.701072
BMP2,0.07234731,2.8279755,0.9712754
BMPR2,3.1881874,4.5352254,3.344749
BPGM,6.348006,5.105146,4.859383
BRCA1,3.5624623,5.4544063,4.493436
C1ORF115,1.877855378438125,2.3516397,1.5446733
C1ORF116,1.153319,0.73487216,0.5450016
C3ORF52,3.1282406,2.7484312,3.2393079
CA2,1.4714216,0.12850721,0.027318275
CALD1,7.126756,2.7428405,7.4197073
CALU,7.8127294,8.259263,9.90091
CAVIN2,0.4027604,1.6599748,0.23588634
CCN2,4.997541,1.3698182,6.9753437
CD59,9.667846,7.612301,10.471644
CD9,7.5759025,10.018951,8.872194
CDH1,0.7767382,4.326904,0.25807625
CDH11,2.0109674445668624,3.0208738,0.5284433
CDH2,3.8535566,4.52543,6.1143503
CDK14,3.4556901,3.1223066,1.836013
CEACAM6,0.6560799,1.7442602,0.19249214
CEBPD,5.7650757,3.4539824,3.2858713
CENPA,4.25031,6.1849666,5.8529377
CFB,6.192338,0.9468506,0.6692345
CHRNA9,0.0986594,0.7886565,0.04166353
CHST11,1.7593007,1.9769574,5.401798
CITED2,4.8737593,3.9955297,4.884578
CLDN3,0.920868,1.0559037,0.06231378
CLDN4,6.66353,6.7750244,0.888481
CLDN7,3.361106,0.13187918,0.30206046
COL1A1,1.4250402,6.0862784,2.5998178
COL3A1,0.054799866,0.11720564,0.34600377
COL4A1,5.929017,4.703455,7.7651634
COL4A2,6.7993207,4.053841,7.621363
COL5A1,0.07037559,3.4363563,2.7707212
COL5A2,0.13382259,1.8662196,5.9869366
COL6A2,8.244821,3.9793577,4.5102406
COL6A3,0.4469708,2.9673862,1.2454104
COL7A1,0.54866743,4.382702,1.8061632
CP,0.62139595,0.1250321,0.25706133
CRLF1,1.5018468,2.9391174,1.7328032
CSF1,6.286445,2.000714,4.476537
CXADR,5.8773885,4.0445166,0.38451293
CXCL6,9.265582,1.2518679726569768,1.2518679726569768
CYB5A,7.209297,5.519828,6.15235
CYTH1,4.2040467,5.6125827,3.067625
DAAM1,2.0442052,3.2632613,3.3945196
DAB2,5.356739,0.7896817,5.200791
DACT1,0.027430104,0.50354004,4.01883
DCK,4.6763015,5.148255,5.638152
DCN,0.047814757,2.070297393308716,2.0544353
DDR2,0.78267443,0.2549205,4.548085
DEFB1,2.0489370284891084,1.1992797,0.6685739
DEPTOR,0.97867155,2.7672396,0.32336316
DHRS2,0.07629912,1.5858952,2.4604385
DIXDC1,1.413345,2.0131264,2.4088695
DLC1,1.3972006,1.166317,4.871252
DOCK4,1.2453375,0.7477045,3.163204
DSC2,0.03377608,4.6861253,0.027326768
DSE,3.067198,1.3164586,1.2224213
DSP,0.07095531,5.0500402,1.9437826
DST,6.863839,7.58303,5.657431
DUSP10,2.6832676,3.7220507,5.3598056
EDN2,0.6009272,1.5095894,0.03087562
EFEMP2,1.5028347,1.3427026,4.150633
EGR1,3.2923355,6.8626747,4.4272575
EHF,6.225913,2.322453,2.5826764
ELF3,4.447288,3.85818,0.29570773
ELK3,3.8127446,3.8393147,5.495113
EML1,2.4436915,2.512649,0.65782106
EMP1,4.5194917,4.915019,7.3226852
EMP3,7.9469705,6.485203,8.022207
ENC1,6.401518,2.3559382,4.454709
EPAS1,3.1417189,3.6983407,3.5197432
EPB41L4B,1.4061012,3.0404875,0.30757657
EPCAM,3.0988777,6.599303,0.5245311
EPHB2,2.891246,2.208149,0.5417606
ERBB3,4.429415,3.129227,6.2688313
EREG,6.4471264,2.0555764509893333,1.410352
ERMP1,4.755096,4.788519,4.8222766
ESRP1,2.945524228763207,1.3624475,4.2881002
ESRP2,2.066134,3.3976345,0.07280142
ETS2,5.714842,4.6412745,4.121662
FA2H,0.19403157,0.34866527,1.3525411431042111
FAM114A1,4.6444736,5.218483,5.4507923
FBLN2,0.8333767,1.121526,0.16370353
FBN1,0.91014856,0.6616794,2.651993
FERMT2,4.127914,4.158854,4.566876
FGF2,3.0940452,2.3251445,1.974566
FGFBP1,1.6935561,7.305779,0.07150321
FHOD3,3.0021138,2.780453,3.7320848
FN1,12.408775,8.659836,10.655325
FOS,5.2528925,9.979782,5.0088005
FOXA2,0.61485213,0.52724755,0.016828608
FOXD1,4.46634,3.2264545,3.9531534
FSTL3,4.0239563,4.10732,2.9556923
FXYD3,0.42834717,8.149254,7.242898
GADD45B,2.6690018,4.2261615,5.776933
GAL,2.3089063026856507,0.23325613,0.8446074
GALNT10,4.7662187,2.7688448,2.6169434
GAS1,1.6630994928410352,4.1151667,4.3570027
GASK1B,1.2935823,0.5410013,5.0036564
GDF15,11.587688,5.2634063,8.543929
GFPT2,5.2960243,3.0253584,0.55717283
GLDC,3.1052742,1.3273195,5.183661
GLIPR1,4.0445776,2.729655,2.5215306
GNB4,1.6567435,4.892707,5.081872
GNG11,7.384853,0.053306,5.6983714
GPRC5C,5.6742516,1.592024,0.906074
GRB10,4.8456206,5.4159546,4.8923326
GRB7,1.8576108,1.7805495,0.047603995
GREM1,0.012565813,0.24223055,1.1649858
GRHL1,1.4602813,4.591201,0.5194674
GRHL2,0.28854638,3.26574,1.715447821925018
GRTP1,2.913596,2.8803034,0.68370366
GSE1,3.9281902,4.7831163,3.117572
GULP1,3.3728018,2.6531494,6.6355557
HMOX1,6.1520863,6.9609056,4.672369
HOOK1,2.9210916,2.5480444,0.13624258
HPGD,0.7024182,1.0391876,2.6364274
HRH1,2.4002674,0.5613848,2.0848603
HS3ST1,1.551585,0.10917599,0.502299
HS3ST3A1,1.236618170590071,2.777224,0.9517765
HS3ST3B1,0.056772176,2.0443242,0.09249974
HSF2BP,0.621275,0.2864932,0.48793185
HTRA1,4.1361175,4.517994,6.460438
IGFBP4,5.716143,8.385245,4.7281547
IGFBP5,0.02800045,3.953349,2.830815
IGFBP7,7.846938,5.71541,7.3898163
IKBIP,6.448888,5.0821958,6.317874
IL11,1.6679689590590667,1.7187803,1.8381168
IL1RN,0.17991865,0.82821643,1.2847560387808907
IMPA2,5.3249617,7.103183,3.5217166
INHBA,0.1564445,0.41147396,2.179667
INHBB,0.015197809,2.5131116,0.20850852
INPP4B,2.9231682,0.50558305,4.544065
IRF6,1.4397295,3.2811537,0.019948093
ITGA5,5.4337907,3.8038056,6.5329
ITGAV,5.8948107,7.3666806,6.079943
ITGB1,9.291327,7.8750243,8.608554
ITGB3,3.7868576,1.1913857,7.8281236
JAG1,3.3996947,6.624531,3.7345579
JAG2,3.1314101,4.7846503,0.23656854
JARID2,1.7137926,3.8470147,3.7895205
JUN,5.851432,6.9232087,4.1642714
JUNB,6.067613,7.048127,4.028074
JUP,4.6541605,5.92815,1.6584355
KCNJ15,0.31063327,0.2569611,0.5788209
KCNMA1,0.027792433,1.8609747,2.3816903
KDELR3,5.770686,3.737081,6.9799795
KITLG,5.840196,3.997166,3.851799
KLF7,1.1625066,4.2377777,2.075317
KRT14,1.9773239,4.07418,0.7728062
KRT15,2.4351432,5.963786,1.9962261
KRT19,8.72774,8.044962,0.6584619
LAMA5,6.7294574,6.4193416,2.0578384
LAMB1,7.9303236,6.2929916,7.8786087
LAMC2,5.1927857,1.9751532,0.3244846
LARP6,4.46357,3.6901937,4.2861643
LBH,2.6999469,4.873124,3.9013786
LCN2,7.9502234,1.6818765,2.2752485
LLGL2,3.448708,3.5067797,1.1960026
LMCD1,2.7557635,0.7862685,5.5134687
LOX,3.213246,1.004638,5.023978
LOXL1,3.888938,0.4557399,2.8890889823219297
LRP1,4.843059,2.8466437,3.6124823
LSR,2.1002882,3.9564657,3.453918
LUM,2.2761035,0.19759242,7.075276
LY6E,8.286285,5.8023715,8.429457
MAF,0.8283383,2.3437517,2.93263
MAGED2,6.623937,6.3954606,8.411672
MANSC1,4.717205,3.2063963,4.2563767
MAP1LC3B,6.5384884,6.747065,6.954464
MAP7,0.18763602,1.9406629,0.7059832
MARVELD2,1.8552761,3.1418855,0.0269445
MATN2,3.3546495,5.3395615,5.76771
MATN3,1.539011578938318,1.3394167,2.3076994
MBOAT2,3.6991851,5.6249285,4.2781854
MBP,3.3347757,2.5661771,8.428536
MCM3,6.55081,6.114171,6.4998984
MCM7,6.651587,7.3185067,7.082809
MFAP2,3.315653,0.12343577,0.52141464
MICAL2,1.7372627,1.8156861,1.7350543
MITF,3.520221,0.9789812,6.5356035
MKI67,3.795445,4.487332,4.6733527
MMP1,8.382724,0.14509961,12.512222
MMP10,0.15876615,0.57421684,1.0745122
MMP14,7.268996,1.0555844,8.212803
MMP2,0.741335,6.8417215,6.5584283
MMP7,3.467697,1.2342377,0.20795906
MMP9,0.524481350915901,0.041548595,0.3011779
MN1,0.09165922,3.3670368,0.27316734
MPZL2,4.1161733,5.0511284,0.41442892
MRC2,1.720795,3.1693847,4.0772343
MTUS1,3.2078586,3.8954384,4.789124
MUC1,4.788858,1.1957822,1.1024163
MYL9,4.1404676,3.6492045297479967,2.8410532
MYO10,2.6541238,4.7519135,4.8570256
MYO5B,4.007411,1.6496706,1.2706187
MYO5C,2.910721,0.12144251,1.2012825
NCF2,0.93245053,0.25799543,0.03956938
NEDD9,1.0028177,3.6977181,4.444137
NFKBIA,6.008171,7.573496,4.283492
NKX3-1,0.067315176,1.7366698,1.9329834
NR2F1,3.813494,0.08794615,1.4090161
NR2F2,7.8456216,3.05097,5.1695523
NREP,4.5721316,4.9307847,4.499635
NRIP3,1.5253774,1.4829566,3.0792978
NT5E,3.2622993,1.1820884,6.294288
NUAK1,0.39248228,3.7231107,1.6356847
NUP210,4.555859,3.0695698,1.3051183
