gene,mean,std,signature,role
ABCA1,1.854214195769006,1.4378112853110692,M,consensus_panel
ABLIM1,3.851603533866783,1.7730540437391038,E,consensus_panel
ACKR3,2.145895296763705,2.2462155326345363,M,consensus_panel
ACTA2,3.15991166022924,2.538860101361673,M,consensus_panel
ACTN1,6.448504020893045,1.7962562287890176,M,consensus_panel
ADAM12,1.5605582516860321,1.8894280966749393,M,consensus_panel
ADAM19,2.2111509664663918,1.7068859485320285,M,consensus_panel
ADAMTS6,1.2649599435655496,1.2894550350281038,M,consensus_panel
ADORA2B,3.3630637295466745,1.7226940261645909,E,consensus_panel
AGR2,3.319514253163701,3.223851189691288,E,consensus_panel
AKT3,3.4538977227832164,2.0354874879533886,M,consensus_panel
ALDH1A3,3.6933143220358637,2.931466657331518,E,consensus_panel
ALDH3A2,5.4469111410216,1.4156026562951536,E,consensus_panel
ALDH5A1,2.921931566236703,1.4452383121987096,E,consensus_panel
ALOX5AP,1.5724378595821784,2.0089298352865157,M,consensus_panel
AMD1,6.0616177539848755,0.7269516518737235,E,consensus_panel
AMIGO2,3.601661523327545,2.4205469651827913,M,consensus_panel
ANGPTL4,1.7113687941677573,1.7226130870611336,M,consensus_panel
ANK3,2.451151149578199,1.6703675363087485,E,consensus_panel
ANKLE2,5.355032051541594,0.6880014030955306,M,consensus_panel
ANKRD1,2.6372007155922934,2.661178538299637,M,consensus_panel
ANLN,5.842263005270506,1.3616952869999885,M,consensus_panel
ANXA8L1,1.7815558702951049,2.2370408011335425,E,consensus_panel
AP1S2,4.845285297223516,1.5438740420179102,M,consensus_panel
APBB2,3.8083400629924196,1.3406644956625118,M,consensus_panel
AQP3,2.699352168779412,2.424642790972614,E,consensus_panel
AREG,2.9701471813247,2.7747452689211225,E,consensus_panel
ARFGAP1,5.707640700988947,0.8294194933199601,M,consensus_panel
ARHGAP29,3.388649285453837,2.107847652263401,E,consensus_panel
ARHGEF40,3.155853236378868,1.4805317545844108,M,consensus_panel
ATF3,3.8528317246589054,1.4887340127432518,E,consensus_panel
